1. แนวคิดและหลักการประเมินภาวะสุขภาพ	8	สรุปpys506-exam-all-topics
2. การประเมินภาวะจิตใจ อารมณ์ สังคมและจิตวิญญาณในผู้ป่วยผ่าตัด	12	สรุปpys506-exam-all-topics
3. PE Head, Face, Neck, Skin and Lymphatic System	8	สรุปpys506-exam-all-topics
4. PE Thorax lung and Cardiovascular system	8	สรุปpys506-exam-all-topics
5. PE เต้านม ช่องท้อง ระบบอวัยวะสืบพันธุ์ภายนอกและทวารหนัก	8	สรุปpys506-exam-all-topics
6. PE Nervous System and Musculoskeletal System	12	สรุปpys506-exam-all-topics
7. การตรวจทางห้องปฏิบัติการและการบันทึก	4	สรุปpys506-exam-all-topics
**รวม**	**60**	สรุปpys506-exam-all-topics
Initial Comprehensive	ประเมินครอบคลุมทุกระบบตอนแรกเข้า รพ.	สรุปpys506-exam-all-topics
Ongoing/Partial	ประเมินติดตามปัญหาที่พบแล้ว	สรุปpys506-exam-all-topics
Focused/Problem-Oriented	ประเมินเฉพาะปัญหา	สรุปpys506-exam-all-topics
Emergency	ใช้หลัก **ABCD** เมื่อคุกคามชีวิต	สรุปpys506-exam-all-topics
**COLDSPA**	Present illness	สรุปpys506-exam-all-topics
**SAMPLE**	Past history	สรุปpys506-exam-all-topics
**BALD CHASM**	Family history	สรุปpys506-exam-all-topics
**ABCD**	Emergency assessment	สรุปpys506-exam-all-topics
Malignant Hyperthermia (จากยาสลบในอดีต)	กล้ามเนื้อเกร็งแข็ง หายใจเร็วหอบเหนื่อย ไข้สูงฉับพลัน ปัสสาวะสีเข้ม เหงื่อออกมาก Tachycardia Severe acidosis PONV รุนแรง	สรุปpys506-exam-all-topics
เด็ก	อายุ >3 ปี, ผ่าตัด >30 นาที, ประวัติ PONV/เมารถ(ตน/ครอบครัว), ผ่าตัดตาเข	สรุปpys506-exam-all-topics
ผู้ใหญ่	Female, Hx.PONV/เมารถเมาเรือ, Non-smoking, Volatile anesthetics, Opioids, Laparoscopic surgery	สรุปpys506-exam-all-topics
Supine→Supine	< **71.4 kg**	สรุปpys506-exam-all-topics
Supine→Supine	> 71.4 kg	สรุปpys506-exam-all-topics
Supine→Prone	< **33 kg**	สรุปpys506-exam-all-topics
Supine→Prone	> 33 kg	สรุปpys506-exam-all-topics
1	สุขภาพแข็งแรงดี	สรุปpys506-exam-all-topics
2	พยาธิสภาพเล็กน้อย (สูงอายุ, HT คุมได้)	สรุปpys506-exam-all-topics
3	พยาธิสภาพรุนแรง เป็นอุปสรรคชีวิต	สรุปpys506-exam-all-topics
4	พยาธิสภาพรุนแรงมาก คุมไม่ได้ อันตรายต่อชีวิต	สรุปpys506-exam-all-topics
5	มีชีวิตอยู่ได้ ≤24 ชม.	สรุปpys506-exam-all-topics
6	สมองตาย บริจาคอวัยวะ	สรุปpys506-exam-all-topics
History taking	ข้อมูลเชิงอัตนัย สร้างสัมพันธภาพผู้รับบริการ-พยาบาล เป็นแนวทางตรวจร่างกาย	สรุปpys506-exam-all-topics
Physical examination	ประเมินสภาวะสุขภาพปัจจุบัน + หาความผิดปกติที่อาจกระทบการผ่าตัด	สรุปpys506-exam-all-topics
Laboratory tests	**Routine:** CBC, Electrolyte levels, Renal & liver function tests, Coagulation · **Specific:** Echocardiography, CT scan, MRI, Pulmonary function test (PFT)	สรุปpys506-exam-all-topics
Assessment of surgical procedure ประเมิน 3 ด้าน	Type of surgery (ความซับซ้อน/ระยะเวลา/ความเสี่ยง), Emergency vs Elective (ฉุกเฉินเสี่ยงสูงกว่า), Anesthesia risk (ความเสี่ยงตามชนิดยาระงับความรู้สึก)	สรุปpys506-exam-all-topics
เกณฑ์น้ำหนักเคลื่อนย้าย	71.4 kg (supine-supine) vs 33 kg (supine-prone)	สรุปpys506-exam-all-topics
Mnemonics	COLDSPA, SAMPLE, BALD CHASM, ABCD ต้องแยกใช้ให้ถูกบริบท	สรุปpys506-exam-all-topics
ใช้ยาระงับความรู้สึกเพิ่ม ฟื้นตัวช้า	วิตกกังวลระดับสูง	สรุปpys506-exam-all-topics
หัวใจ/หายใจผิดปกติ	หลั่ง **Catecholamine + Corticosteroid** มากขึ้น	สรุปpys506-exam-all-topics
แผลหายช้า อักเสบ	**Glucocorticoids** หลั่งมากกว่าปกติ	สรุปpys506-exam-all-topics
BP สูงขณะ/หลังผ่าตัด	วิตกกังวล; ผู้ป่วยผ่าตัด 43% มี HT, 24.6% เลื่อนผ่าตัดเพื่อคุม BP	สรุปpys506-exam-all-topics
**ข้อมูลข่าวสาร (Information)**	อาการ/วิธีผ่าตัด, ช่องทางติดต่อทีม, คำอธิบายเข้าใจง่ายไม่ใช้ศัพท์แพทย์	สรุปpys506-exam-all-topics
**อารมณ์ (Emotional)**	สนับสนุนอารมณ์ มีคนปลอบโยน/ให้กำลังใจ	สรุปpys506-exam-all-topics
**จิตวิญญาณ (Spiritual)**	ความหวังหายจากโรค กิจกรรมศาสนา/สิ่งยึดเหนี่ยวจิตใจ	สรุปpys506-exam-all-topics
ปัญหาจิตใจที่พบบ่อย: วิตกกังวล กลัว (ผ่าตัดไม่สำเร็จ/ตาย/พิการ/เจ็บ/ไม่ฟื้น) ทุกข์ทรมานจากแผล; ปัญหาจิตสังคมทั่วไป	Anxiety, Fear, Anger, Stress, Hopelessness, Loneliness, Low self-esteem, Altered body image	สรุปpys506-exam-all-topics
มิติอารมณ์: Mood (พื้นฐานขณะไม่มีสิ่งเร้า) vs Affect (แสดงออกเมื่อถูกกระตุ้น	blunted/restricted/inappropriate)	สรุปpys506-exam-all-topics
Thought	content→**Delusion** (grandeur/persecutory/jealousy/idea of reference); form→loosening of association/flight of idea/blocking/circumstantial/neologism	สรุปpys506-exam-all-topics
